epoch,accuracy,learning_rate,loss,top2_acc,val_accuracy,val_loss,val_top2_acc
0,0.4944393038749695,9.999999747378752e-06,1.6369616985321045,0.8285449743270874,0.5518518686294556,2.066020965576172,0.8962963223457336
1,0.5273401141166687,9.999999747378752e-06,1.5920288562774658,0.8558850884437561,0.5703703761100769,2.0688202381134033,0.9203703999519348
2,0.5268767476081848,9.999999747378752e-06,1.5620858669281006,0.8762743473052979,0.550000011920929,2.082089424133301,0.9092592597007751
3,0.5333642363548279,9.999999747378752e-06,1.5433921813964844,0.8707136511802673,0.550000011920929,2.0834169387817383,0.9129629731178284
4,0.5338276028633118,9.999999747378752e-06,1.5519663095474243,0.8855421543121338,0.5555555820465088,2.079707384109497,0.9111111164093018
5,0.550973117351532,9.999999747378752e-06,1.5268511772155762,0.8920296430587769,0.5666666626930237,2.0682132244110107,0.9259259104728699
6,0.5565338134765625,9.999999747378752e-06,1.510201334953308,0.8758109211921692,0.5666666626930237,2.062541961669922,0.9259259104728699
7,0.5704355835914612,9.999999747378752e-06,1.4924684762954712,0.9022243022918701,0.5666666626930237,2.0449936389923096,0.9259259104728699
8,0.5583873987197876,9.999999747378752e-06,1.489217758178711,0.9059314131736755,0.5685185194015503,2.0285518169403076,0.9296296238899231
9,0.5722891688346863,9.999999747378752e-06,1.4840644598007202,0.9040778279304504,0.5629629492759705,2.0235178470611572,0.9370370507240295
10,0.5755329132080078,9.999999747378752e-06,1.4791558980941772,0.9017608761787415,0.5574073791503906,2.023672103881836,0.9333333373069763
11,0.5801668167114258,9.999999747378752e-06,1.4627227783203125,0.9281742572784424,0.5592592358589172,2.0190329551696777,0.9314814805984497
12,0.5690454244613647,9.999999747378752e-06,1.449592113494873,0.9105653166770935,0.5574073791503906,2.024125337600708,0.9259259104728699
13,0.5699722170829773,9.999999747378752e-06,1.4356741905212402,0.9253938794136047,0.550000011920929,2.0221071243286133,0.9185185432434082
14,0.5773864984512329,9.999999747378752e-06,1.4415136575698853,0.9156626462936401,0.5537037253379822,2.004361391067505,0.9277777671813965
15,0.5783132314682007,9.999999747378752e-06,1.4295321702957153,0.9216867685317993,0.5629629492759705,1.9960259199142456,0.9203703999519348
16,0.5871176719665527,9.999999747378752e-06,1.419044852256775,0.9249305129051208,0.5611110925674438,1.9918816089630127,0.9222221970558167
