epoch,accuracy,learning_rate,loss,top2_acc,val_accuracy,val_loss,val_top2_acc
0,0.889140248298645,9.999999747378752e-06,0.3555617928504944,1.0,1.0,0.6657029390335083,1.0
1,0.9151583909988403,9.999999747378752e-06,0.3528214395046234,1.0,1.0,0.6264311671257019,1.0
2,0.9117646813392639,9.999999747378752e-06,0.3476282060146332,1.0,1.0,0.5950319170951843,1.0
3,0.9117646813392639,9.999999747378752e-06,0.33984091877937317,1.0,1.0,0.5707825422286987,1.0
4,0.9196832776069641,9.999999747378752e-06,0.3352947235107422,1.0,1.0,0.5536010265350342,1.0
5,0.9196832776069641,9.999999747378752e-06,0.3305049240589142,1.0,1.0,0.5413474440574646,1.0
6,0.9287330508232117,9.999999747378752e-06,0.3255122900009155,1.0,0.9954751133918762,0.5319034457206726,1.0
7,0.9377828240394592,9.999999747378752e-06,0.3214015066623688,1.0,0.9954751133918762,0.5239976048469543,1.0
8,0.9457013607025146,9.999999747378752e-06,0.3172750473022461,1.0,0.9954751133918762,0.5174391865730286,1.0
9,0.942307710647583,9.999999747378752e-06,0.3167535066604614,1.0,0.9954751133918762,0.5125292539596558,1.0
10,0.942307710647583,9.999999747378752e-06,0.30823132395744324,1.0,0.9909502267837524,0.5092117786407471,1.0
11,0.9434388875961304,9.999999747378752e-06,0.3049965798854828,1.0,0.9909502267837524,0.5039793848991394,1.0
12,0.9332579374313354,9.999999747378752e-06,0.3008229732513428,1.0,0.9954751133918762,0.49866873025894165,1.0
13,0.9434388875961304,9.999999747378752e-06,0.29656997323036194,1.0,0.9954751133918762,0.49436473846435547,1.0
14,0.9570135474205017,9.999999747378752e-06,0.2927517890930176,1.0,0.9954751133918762,0.49107345938682556,1.0
15,0.9502262473106384,9.999999747378752e-06,0.2887668013572693,1.0,0.9954751133918762,0.4862106144428253,1.0
